,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,date,match,left_number_of_spots,right_number_of_spots,winner,loser,spot_number_difference,percent_difference,match_is_tie,notes,sheet_name,session_number_difference,cage_#,tuple_animal_id,strain,experiment_type
11,6,4.2,4.3,1000.0,990.0,0.0,3,2,1,2022-09-16,2vs3,5.0,172.0,4.3,4.2,,,False,3 hours,CAGE4,0.0,4,"('4.2', '4.3')",CD1,urine_marking
0,1,5.2,5.1,1000.0,1010.0,1.0,1,2,0,2022-09-12,1vs2,13.0,58.0,5.2,5.1,,,False,3 hours,CAGE5,,5,"('5.1', '5.2')",CD1,urine_marking
1,1,5.1,5.2,1000.0,990.0,0.0,2,1,1,2022-09-12,1vs2,13.0,58.0,5.2,5.1,,,False,3 hours,CAGE5,,5,"('5.1', '5.2')",CD1,urine_marking
2,2,5.4,5.3,1000.0,1000.0,0.5,2,3,0,2022-09-12,3vs4,15.0,19.0,5.4,5.3,,,True,3 hours,CAGE5,0.0,5,"('5.3', '5.4')",CD1,urine_marking
3,2,5.3,5.4,1000.0,1000.0,0.5,3,2,1,2022-09-12,3vs4,15.0,19.0,5.4,5.3,,,True,3 hours,CAGE5,0.0,5,"('5.3', '5.4')",CD1,urine_marking
4,3,5.3,5.1,1000.0,999.7,0.5,3,4,0,2022-09-13,1vs3,8.0,10.0,5.3,5.1,,,True,3 hours,CAGE5,1.0,5,"('5.1', '5.3')",CD1,urine_marking
5,3,5.1,5.3,990.0,990.3,0.5,4,3,1,2022-09-13,1vs3,8.0,10.0,5.3,5.1,,,True,3 hours,CAGE5,1.0,5,"('5.1', '5.3')",CD1,urine_marking
6,4,5.4,5.2,1000.0,1010.3,1.0,1,2,0,2022-09-13,4vs2,136.0,44.0,5.4,5.2,,,False,3 hours,CAGE5,0.0,5,"('5.2', '5.4')",CD1,urine_marking
7,4,5.2,5.4,1010.0,999.7,0.0,2,1,1,2022-09-13,4vs2,136.0,44.0,5.4,5.2,,,False,3 hours,CAGE5,0.0,5,"('5.2', '5.4')",CD1,urine_marking
8,5,5.2,5.3,999.7,1009.7,1.0,2,4,0,2022-09-16,2vs3,123.0,28.0,5.2,5.3,,,False,3 hours,CAGE5,1.0,5,"('5.2', '5.3')",CD1,urine_marking
